enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours
9709,city_103,0.92,Male,Has relevent experience,no_enrollment,Undefined,Other,10,100-500,Other,1,-0.9290534980841101
24656,city_160,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,3,10000+,Pvt Ltd,1,-0.6622669564633442
8464,city_74,0.579,Other,Has relevent experience,no_enrollment,Graduate,STEM,2,Other,Other,never,-0.0619972378166211
14522,city_21,0.624,Other,Has relevent experience,Full time course,Graduate,STEM,2,100-500,Other,never,-0.4788512090990677
22739,city_97,0.925,Other,No relevent experience,no_enrollment,Undefined,Other,4,Other,Other,never,-0.21206466747830188
15368,city_103,0.92,Other,Has relevent experience,Part time course,Masters,STEM,>20,10000+,Pvt Ltd,>4,-0.5455478445042592
31516,city_90,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Other,Other,>4,-0.37880625599128054
23444,city_100,0.887,Other,No relevent experience,Full time course,Masters,STEM,8,Other,Public Sector,3,-0.46217705024776984
19454,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Funded Startup,1,1.772160235826144
7319,city_21,0.624,Other,Has relevent experience,no_enrollment,Graduate,STEM,12,1000-4999,Pvt Ltd,2,-0.9624018157867058
32762,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,17,Other,Other,1,0.8550814990047615
28893,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,Humanities,<1,50-99,Pvt Ltd,1,1.2385871525846124
2334,city_83,0.923,Female,No relevent experience,no_enrollment,Masters,STEM,7,100-500,Pvt Ltd,1,-0.9290534980841101
27287,city_40,0.7759999999999999,Male,Has relevent experience,no_enrollment,Masters,Other,10,<10,Pvt Ltd,2,-0.5121995268016635
6470,city_89,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,-0.5288736856529613
5607,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,1,-0.6789411153146421
1652,city_115,0.789,Male,No relevent experience,Full time course,Graduate,STEM,5,Other,Other,1,1.5053736942053781
32671,city_145,0.555,Other,No relevent experience,no_enrollment,Graduate,STEM,2,50-99,NGO,never,-0.3954804148425784
26165,city_103,0.92,Male,No relevent experience,Full time course,Undefined,Other,1,Other,Other,1,0.23813762150674045
26033,city_114,0.926,Other,No relevent experience,no_enrollment,High School,Other,3,Other,Other,never,-0.16204219092440827
21060,city_138,0.836,Male,No relevent experience,Full time course,Graduate,STEM,8,500-999,Pvt Ltd,1,-0.9790759746380037
1735,city_149,0.6890000000000001,Other,Has relevent experience,no_enrollment,Graduate,STEM,8,<10,Funded Startup,1,-0.045323078965323234
12103,city_116,0.743,Male,Has relevent experience,no_enrollment,Masters,STEM,18,1000-4999,Pvt Ltd,>4,-0.6789411153146421
1204,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Other,Public Sector,1,1.2385871525846124
2406,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,<10,Pvt Ltd,1,-0.7789860684224292
22521,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,Other,Other,4,2.9726996731195903
32178,city_54,0.856,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Funded Startup,4,0.1214185095476554
15624,city_67,0.855,Male,No relevent experience,Part time course,Graduate,STEM,17,Other,Other,2,-0.7789860684224292
5883,city_114,0.926,Other,Has relevent experience,no_enrollment,Graduate,STEM,>20,Other,Other,never,0.4382275277223148
23845,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,1,-0.14536803207311041
3724,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,0.07139603299376181
13252,city_106,0.698,Male,Has relevent experience,Part time course,High School,Other,11,10/49,Pvt Ltd,1,-0.562222003355557
22987,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,1,-0.22873882632959974
10755,city_11,0.55,Other,Has relevent experience,no_enrollment,Masters,STEM,18,Other,Other,1,3.372879485550739
23310,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,17,10000+,Pvt Ltd,3,0.4048792100197191
4780,city_138,0.836,Other,No relevent experience,no_enrollment,Primary School,Other,<1,Other,Pvt Ltd,never,-0.9624018157867058
10577,city_143,0.74,Male,Has relevent experience,Part time course,Masters,STEM,20,Other,Other,1,-0.445502891396472
7756,city_21,0.624,Other,Has relevent experience,no_enrollment,Graduate,STEM,2,<10,Early Stage Startup,never,-1.0290984511918972
17407,city_103,0.92,Female,No relevent experience,no_enrollment,Phd,Humanities,>20,10000+,Public Sector,>4,-0.812334386125025
3940,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,7,50-99,Pvt Ltd,2,1.9055535066365268
4775,city_97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,0.03804771529116609
29135,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,50-99,Funded Startup,>4,-0.3954804148425784
23987,city_152,0.698,Male,No relevent experience,Full time course,Graduate,STEM,3,10/49,Other,1,-0.17871634977570616
28624,city_75,0.939,Female,Has relevent experience,no_enrollment,Masters,STEM,17,10/49,Pvt Ltd,1,-0.8623568626789186
24436,city_21,0.624,Male,Has relevent experience,no_enrollment,High School,Other,14,10/49,Pvt Ltd,>4,-1.045772610043195
14634,city_11,0.55,Other,Has relevent experience,no_enrollment,Masters,STEM,10,50-99,Pvt Ltd,>4,-0.7122894330172378
20127,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,20,10000+,NGO,>4,-0.6289186387607485
21207,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,5,50-99,Pvt Ltd,2,-0.16204219092440827
20879,city_28,0.939,Other,No relevent experience,Part time course,High School,Other,4,100-500,Other,never,-0.9790759746380037
2879,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,-0.22873882632959974
20912,city_73,0.754,Other,No relevent experience,Full time course,Graduate,STEM,5,Other,Other,never,-0.32878377943738696
19212,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,5000-9999,Pvt Ltd,1,0.8717556578560594
30182,city_103,0.92,Other,Has relevent experience,Full time course,High School,Other,6,Other,Other,2,-0.9624018157867058
11573,city_67,0.855,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,10000+,Pvt Ltd,2,1.4553512176514845
12721,city_65,0.802,Female,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,3,-0.6789411153146421
17161,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,Funded Startup,1,-0.7956602272737271
8857,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,8,50-99,Early Stage Startup,1,0.7383623870456764
7546,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,5,Other,Other,never,1.872205188933931
18702,city_80,0.847,Male,No relevent experience,no_enrollment,Undefined,Other,2,Other,Other,never,1.6054186473131653
11526,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,Humanities,16,500-999,Other,3,-0.9790759746380037
24097,city_114,0.926,Other,Has relevent experience,no_enrollment,Masters,STEM,17,<10,Pvt Ltd,1,-0.8623568626789186
2477,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,Other,11,Other,Other,>4,0.18811514495284687
14472,city_21,0.624,Other,No relevent experience,Full time course,Graduate,STEM,19,Other,Other,never,-0.32878377943738696
312,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,-0.6789411153146421
12342,city_143,0.74,Other,No relevent experience,Full time course,Undefined,Other,<1,10/49,Pvt Ltd,3,0.23813762150674045
17790,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Pvt Ltd,>4,-0.8790310215302165
766,city_103,0.92,Other,Has relevent experience,no_enrollment,Undefined,Other,8,Other,Other,never,0.4382275277223148
12396,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,<1,100-500,Pvt Ltd,1,0.15476682725025115
6825,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,No Major,6,1000-4999,Other,never,-0.7789860684224292
20581,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,1,10/49,Public Sector,1,-0.2954354617347912
30072,city_173,0.878,Other,Has relevent experience,no_enrollment,High School,Other,10,Other,Other,2,0.004699397588570357
23143,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,9,10/49,Pvt Ltd,1,0.42155336887101696
9627,city_11,0.55,Female,No relevent experience,Full time course,Graduate,STEM,4,Other,Other,never,-0.6789411153146421
18582,city_83,0.923,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10000+,Pvt Ltd,4,1.7388119181235482
1676,city_99,0.915,Other,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,2,-0.445502891396472
9357,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,6,1000-4999,Pvt Ltd,1,3.272834532442952
27993,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10000+,Pvt Ltd,4,0.7883848635995699
8158,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,Other,Other,1,2.105643412852101
21086,city_103,0.92,Other,Has relevent experience,no_enrollment,Masters,STEM,14,10000+,Public Sector,3,-0.17871634977570616
10333,city_115,0.789,Male,No relevent experience,Full time course,Graduate,STEM,3,50-99,Pvt Ltd,1,-0.32878377943738696
18504,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,4,-0.6289186387607485
27533,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,2,-0.7623119095711314
4123,city_21,0.624,Other,No relevent experience,Full time course,High School,Other,4,Other,Pvt Ltd,never,-0.5288736856529613
5437,city_103,0.92,Other,Has relevent experience,Full time course,Graduate,STEM,5,Other,Other,1,0.171440986101549
10448,city_21,0.624,Other,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,1,-0.5288736856529613
17868,city_144,0.84,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,>4,-1.062446768894493
17398,city_162,0.767,Other,Has relevent experience,no_enrollment,Graduate,STEM,9,Other,Other,1,-0.26208714403219546
25573,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,>20,Other,Other,>4,-0.22873882632959974
21458,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,1,100-500,Pvt Ltd,1,1.1218680406255273
20974,city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,Humanities,3,50-99,Funded Startup,2,-0.6956152741659399
5912,city_21,0.624,Other,No relevent experience,no_enrollment,Masters,STEM,3,<10,Pvt Ltd,never,1.5720703296105696
709,city_138,0.836,Other,No relevent experience,Full time course,Graduate,STEM,13,Other,Other,1,-0.8290085449763228
3089,city_21,0.624,Other,Has relevent experience,no_enrollment,Graduate,STEM,10,1000-4999,Pvt Ltd,1,-0.562222003355557
16437,city_100,0.887,Other,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,never,-0.19539050862700402
15321,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10000+,Pvt Ltd,2,-0.8290085449763228
15795,city_104,0.924,Male,Has relevent experience,no_enrollment,High School,Other,14,<10,Pvt Ltd,1,-0.46217705024776984
18478,city_102,0.804,Other,No relevent experience,Full time course,Graduate,STEM,4,Other,Other,never,-0.5455478445042592
528,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Public Sector,3,-0.22873882632959974
11315,city_114,0.926,Male,No relevent experience,Full time course,Graduate,STEM,4,Other,Other,4,-0.6956152741659399
22769,city_21,0.624,Other,Has relevent experience,Full time course,Masters,STEM,4,50-99,Other,1,-0.3621320971399827
26708,city_114,0.926,Male,Has relevent experience,Part time course,Graduate,STEM,8,50-99,Pvt Ltd,1,-0.49552536795036556
4402,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,>20,Other,Other,>4,-0.9790759746380037
23152,city_149,0.6890000000000001,Other,No relevent experience,no_enrollment,Undefined,Other,4,Other,Other,never,-0.9624018157867058
10359,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,Other,Other,>4,-0.9123793392328122
9179,city_48,0.493,Other,No relevent experience,no_enrollment,Graduate,STEM,2,Other,Other,1,-0.7122894330172378
26693,city_149,0.6890000000000001,Male,Has relevent experience,no_enrollment,Graduate,Arts,4,Other,Other,4,0.10474435069635754
14196,city_136,0.897,Male,Has relevent experience,Part time course,Graduate,STEM,6,10000+,Public Sector,4,-0.6789411153146421
16769,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Other,Other,1,0.02137355643986822
5447,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,7,Other,Pvt Ltd,never,-0.6289186387607485
6288,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,8,500-999,Pvt Ltd,1,-0.8957051803815144
28582,city_138,0.836,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Other,4,-0.8957051803815144
21600,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,<10,Funded Startup,1,-0.31210962058608904
15597,city_16,0.91,Male,Has relevent experience,Full time course,Graduate,STEM,9,Other,Other,>4,-0.2954354617347912
15868,city_102,0.804,Male,No relevent experience,Full time course,Graduate,STEM,2,Other,Other,2,0.8384073401534635
3981,city_103,0.92,Female,Has relevent experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,2,-0.7122894330172378
4881,city_102,0.804,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,1000-4999,Pvt Ltd,1,0.33818257461452766
32433,city_102,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,6,100-500,Pvt Ltd,2,0.27148593920933617
15798,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,4,5000-9999,Pvt Ltd,2,-0.5955703210581528
31076,city_97,0.925,Male,Has relevent experience,Part time course,Masters,STEM,9,50-99,Pvt Ltd,>4,-0.7122894330172378
19845,city_98,0.949,Female,Has relevent experience,no_enrollment,Masters,STEM,6,10000+,Public Sector,1,-1.045772610043195
28628,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,100-500,Pvt Ltd,1,0.6883399104917828
9610,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,1,0.7717107047482721
25124,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,5000-9999,Pvt Ltd,2,0.171440986101549
25278,city_134,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,6,Other,Other,1,-0.5121995268016635
12670,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,1,-0.945727656935408
28725,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Other,Other,1,-0.7789860684224292
18514,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,4,50-99,Pvt Ltd,never,-0.19539050862700402
2698,city_36,0.893,Male,No relevent experience,no_enrollment,Graduate,No Major,12,10000+,Public Sector,3,0.03804771529116609
3783,city_149,0.6890000000000001,Male,Has relevent experience,no_enrollment,High School,Other,8,Other,Other,1,-0.9624018157867058
33075,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,9,<10,Pvt Ltd,1,-0.31210962058608904
18468,city_11,0.55,Other,Has relevent experience,no_enrollment,Graduate,Business Degree,2,50-99,Pvt Ltd,1,0.004699397588570357
20936,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,15,Other,Other,>4,-0.3954804148425784
2341,city_83,0.923,Male,Has relevent experience,Part time course,High School,Other,1,50-99,Pvt Ltd,1,2.0722950951495056
22281,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,20,Other,Other,never,-0.7623119095711314
31200,city_149,0.6890000000000001,Male,Has relevent experience,Part time course,Graduate,STEM,10,Other,Other,2,-0.49552536795036556
15424,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,13,Other,Other,never,-0.045323078965323234
31788,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,3,-0.7956602272737271
10695,city_21,0.624,Other,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,1,4.173239110413037
5452,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,50-99,Pvt Ltd,>4,-0.32878377943738696
32326,city_102,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,4,50-99,Pvt Ltd,4,1.3719804233949953
277,city_84,0.698,Male,Has relevent experience,Full time course,Masters,STEM,7,Other,Other,1,-0.3454579382886848
29616,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,-0.19539050862700402
19536,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,5,500-999,Pvt Ltd,1,-0.9290534980841101
14326,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,13,10000+,Pvt Ltd,2,-0.7289635918685357
18191,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,11,Other,Other,never,-0.9957501334893015
17629,city_57,0.866,Male,Has relevent experience,no_enrollment,Masters,STEM,19,Other,Other,3,0.5882949573839956
7988,city_97,0.925,Male,Has relevent experience,Part time course,Graduate,Arts,3,500-999,Pvt Ltd,1,-0.4288287325451741
27623,city_11,0.55,Male,Has relevent experience,Part time course,Graduate,STEM,17,10/49,Funded Startup,1,0.538272480830102
20845,city_9,0.743,Other,No relevent experience,Part time course,Primary School,Other,2,50-99,Funded Startup,1,-0.3621320971399827
19308,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,2,-0.011974761262727509
12644,city_90,0.698,Other,No relevent experience,Full time course,Graduate,STEM,7,500-999,Pvt Ltd,1,2.1723400482572925
6708,city_21,0.624,Other,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,1,1.772160235826144
1625,city_160,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,-0.562222003355557
27738,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,3,-0.5121995268016635
10942,city_48,0.493,Other,No relevent experience,Part time course,Graduate,STEM,<1,Other,Other,1,0.4382275277223148
15481,city_24,0.698,Other,Has relevent experience,no_enrollment,Graduate,Humanities,11,500-999,Other,1,-0.6289186387607485
10085,city_40,0.7759999999999999,Male,Has relevent experience,Full time course,Graduate,STEM,10,1000-4999,Pvt Ltd,1,0.6383174339378892
18835,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,No Major,3,Other,Other,1,-0.5455478445042592
15804,city_21,0.624,Male,No relevent experience,no_enrollment,High School,Other,2,Other,Other,never,-0.8790310215302165
24330,city_145,0.555,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,Other,Pvt Ltd,1,-0.9957501334893015
11812,city_23,0.899,Male,Has relevent experience,no_enrollment,Masters,Humanities,19,10/49,Pvt Ltd,2,1.405328741097591
12863,city_114,0.926,Male,No relevent experience,Full time course,Masters,STEM,>20,5000-9999,Other,4,0.7050140693430806
3172,city_103,0.92,Other,No relevent experience,no_enrollment,Primary School,Other,2,Other,Other,never,1.0885197229229315
18080,city_67,0.855,Male,No relevent experience,no_enrollment,Primary School,Other,1,Other,Other,1,1.8388568712313353
27986,city_45,0.89,Female,Has relevent experience,no_enrollment,High School,Other,16,1000-4999,Pvt Ltd,3,-0.2954354617347912
31022,city_21,0.624,Male,Has relevent experience,Part time course,Graduate,STEM,9,50-99,Pvt Ltd,1,0.8050590224508678
32728,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,-0.6455927976120464
13376,city_145,0.555,Other,Has relevent experience,no_enrollment,Masters,STEM,19,10000+,Pvt Ltd,2,-0.14536803207311041
3248,city_102,0.804,Male,No relevent experience,no_enrollment,High School,Other,4,Other,Pvt Ltd,never,0.47157584542491054
28858,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,1,-0.0619972378166211
14590,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,3,-0.16204219092440827
16405,city_11,0.55,Other,Has relevent experience,Full time course,Graduate,STEM,5,100-500,Funded Startup,>4,-0.6289186387607485
7919,city_83,0.923,Other,Has relevent experience,no_enrollment,Graduate,STEM,6,<10,Pvt Ltd,1,3.239486214740356
29661,city_103,0.92,Male,No relevent experience,no_enrollment,Masters,Humanities,<1,Other,Other,never,0.538272480830102
28749,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Funded Startup,1,0.27148593920933617
18329,city_160,0.92,Male,No relevent experience,Full time course,Graduate,STEM,4,Other,Other,1,-0.3954804148425784
9212,city_21,0.624,Other,Has relevent experience,no_enrollment,Masters,STEM,3,100-500,Pvt Ltd,3,-0.4288287325451741
28006,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,18,Other,Other,1,-0.1120197143705147
30804,city_104,0.924,Male,No relevent experience,no_enrollment,Graduate,Arts,>20,Other,Other,2,3.2061378970377605
15664,city_36,0.893,Male,Has relevent experience,no_enrollment,High School,Other,12,100-500,NGO,>4,0.7216882281943785
9391,city_114,0.926,Male,Has relevent experience,Full time course,Graduate,STEM,7,10000+,Pvt Ltd,1,-1.062446768894493
25836,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Business Degree,16,<10,Pvt Ltd,1,-0.3954804148425784
14476,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,6,10/49,Pvt Ltd,>4,-0.445502891396472
1602,city_103,0.92,Other,No relevent experience,Full time course,Graduate,STEM,4,Other,Other,1,0.15476682725025115
7604,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,1,100-500,NGO,1,0.2548117803580383
28697,city_103,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,4,100-500,Pvt Ltd,1,-0.5455478445042592
8908,city_160,0.92,Male,No relevent experience,Full time course,Masters,STEM,14,Other,Other,4,-0.49552536795036556
24469,city_21,0.624,Other,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,never,0.3715308923171234
32290,city_100,0.887,Male,No relevent experience,no_enrollment,Graduate,STEM,3,Other,Other,1,0.6049691162352935
27040,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10/49,Pvt Ltd,>4,0.5215983219788042
16080,city_103,0.92,Other,No relevent experience,Full time course,Graduate,STEM,3,<10,Public Sector,2,-0.4788512090990677
25525,city_67,0.855,Other,No relevent experience,Full time course,High School,Other,4,10000+,Pvt Ltd,1,-0.49552536795036556
5385,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,-0.9290534980841101
12439,city_75,0.939,Other,Has relevent experience,no_enrollment,Graduate,STEM,16,500-999,Pvt Ltd,2,0.5716207985326978
4922,city_103,0.92,Male,Has relevent experience,no_enrollment,Primary School,Other,10,<10,Pvt Ltd,1,-0.8623568626789186
12408,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,<1,Other,Other,never,0.2548117803580383
2069,city_114,0.926,Female,Has relevent experience,no_enrollment,Masters,Humanities,>20,<10,Pvt Ltd,>4,0.004699397588570357
306,city_61,0.913,Male,No relevent experience,Full time course,Graduate,STEM,2,Other,Other,2,0.3048342569119319
26113,city_114,0.926,Female,No relevent experience,Full time course,Graduate,STEM,15,Other,Other,1,-0.49552536795036556
8866,city_19,0.682,Other,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Other,1,4.440025652033802
24338,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,4,1000-4999,Pvt Ltd,1,0.13809266839895326
26881,city_57,0.866,Male,No relevent experience,no_enrollment,High School,Other,4,Other,Other,never,0.004699397588570357
4165,city_103,0.92,Male,No relevent experience,no_enrollment,Phd,Humanities,>20,1000-4999,Public Sector,2,0.28816009806063403
18995,city_67,0.855,Other,No relevent experience,Part time course,High School,Other,2,Other,Other,never,0.7717107047482721
18459,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,2,-0.5455478445042592
10870,city_128,0.527,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,1,-0.6789411153146421
281,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,50-99,Funded Startup,4,-0.9123793392328122
4313,city_103,0.92,Other,No relevent experience,Full time course,Graduate,STEM,1,Other,Other,1,-0.22873882632959974
2310,city_102,0.804,Female,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,never,-0.0619972378166211
31155,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,1,-0.3621320971399827
